id,short_desc,severity,failure_impact_type,action_urgency_type
322725,Content type of .cproject should be XML by default,normal,user-facing bug,needs attention soon
316620,reorganize build directory so only essential content is sent to mirrors,normal,user-facing bug,needs attention soon
272502,Deprecate IProduct,normal,user-facing bug,needs attention soon
267979,[Reference] org.eclipse.ui.splash missing from the API reference,normal,user-facing bug,needs attention soon
23410,"Show ""No source"" if source locator returns null.",enhancement,non-critical feature request,can wait (low urgency)
93140,Search for main methods can use smaller scope,normal,user-facing bug,needs attention soon
162230,Indexer stack overflow with Windows SDK,normal,user-facing bug,needs attention soon
219424,[Parser] bindings for names resolved via using declarations,normal,user-facing bug,needs attention soon
245183,[Databinding] ObservableList could do a == check before delegating to the wrapped list,normal,user-facing bug,needs attention soon
132028,[Jave Compiler Preference Page] Checkbox requires 2 clicks to enable fields,normal,user-facing bug,needs attention soon
210747,[Viewers] AbstractTreeViewer.remove() fails to remove plus sign,normal,user-facing bug,needs attention soon
28062,Text field in dialog doesn't get focus,normal,user-facing bug,needs attention soon
175957,Bring back the alt-shift-R keybinding for rename,normal,user-facing bug,needs attention soon
10152,Computing hierarchy of IResource is slow,normal,performance degradation,needs attention soon
14045,Deadlock exiting workspace,normal,system failure / crash,immediate action required
47451,The Software Update has a problem when it is configurated with HTTP proxy.,normal,user-facing bug,needs attention soon
150109,404 Error when attempting to mirror Eclipse Platform Update site,normal,user-facing bug,needs attention soon
196832,Direct import does not override access restrictions on indirect import,normal,user-facing bug,needs attention soon
102528,Updates don't work in 3.1,major,user-facing bug,needs attention soon
51285,[find/replace] Find Dialog obscures found item,enhancement,non-critical feature request,can wait (low urgency)
26550,[Wizards] New wizard: double click on a category node should expand it,normal,user-facing bug,needs attention soon
197077,[Schema][Editors] Read-only description section is writable,normal,user-facing bug,needs attention soon
227764,Create an RSS feed for platform builds,normal,user-facing bug,needs attention soon
48451,Error Log dialog has OK and Cancel buttons,normal,user-facing bug,needs attention soon
210972,[Webapp] Infocenter sends bad redirect URLs in proxy environment,major,user-facing bug,needs attention soon
72883,java.lang.NoClassDefFoundError: org/eclipse/jdt/core/dom/Modifier on Copy(CRTL+C) action,normal,system failure / crash,immediate action required
205194,[ErrorHandling] [StatusHandling] StatusAdapter needs Action and Explanation constants,normal,user-facing bug,needs attention soon
295988,CDI Exception in VariableManager.udpate prevents all other updates,major,user-facing bug,needs attention soon
204192,[WorkbenchParts] NullPointerException in WorkbenchWindow.hardClose,normal,system failure / crash,immediate action required
72708,[Search] Search for references of pure virtual method yields no results,major,user-facing bug,needs attention soon
3719,"DCR - ""Create In "" in Hierarchy View (1GE91UD)",major,non-critical feature request,can wait (low urgency)
74504,Close parenthesis option does no longer work,normal,user-facing bug,needs attention soon
35576,Quickfix corrections not available in all cases [quick fix],enhancement,non-critical feature request,can wait (low urgency)
70629,[J2SE 5] JDI support for extensible connectors,enhancement,non-critical feature request,can wait (low urgency)
7865,Double-click selection is broken for strings,normal,user-facing bug,needs attention soon
181899,CVS History wrongly ordered,normal,user-facing bug,needs attention soon
69129,Code formatter should provide the following options,normal,non-critical feature request,can wait (low urgency)
326741,Problem with Applications Objects Refreshing in RTL mode.,normal,user-facing bug,needs attention soon
46729,Platform extension point doc is missing,normal,user-facing bug,needs attention soon
266241,Investigate the need of PDETextHover,normal,user-facing bug,needs attention soon
68281,GTK PPC: Eclipse crashes with some gtk elements,major,system failure / crash,immediate action required
229589,[jar export] Runnable JAR exporter should also work JUnit launch configs,enhancement,non-critical feature request,can wait (low urgency)
294405,[DataBinding] Array data binding is missing,normal,user-facing bug,needs attention soon
76835,[prefs] Resources plug-in should use new preferences,normal,user-facing bug,needs attention soon
53265,[SWT Examples] Image Analyzer crashed when tried to open JPEGs on HP-UX 11i,normal,system failure / crash,immediate action required
44770,[Working Sets] Closed projects are not kept when editing working sets,normal,user-facing bug,needs attention soon
231915,[Perspectives] TVT34:TCT216: Hew: Bidi problem in perspective titles,normal,user-facing bug,needs attention soon
13720,Breakpoint ruler actions do not work on class files with source,normal,user-facing bug,needs attention soon
36402,[misc] Create Spell Checker Plug-in,enhancement,non-critical feature request,can wait (low urgency)
330362,Filtering (narrow down feature like quick outline) must be enabled in bookmarks and tasks view,enhancement,non-critical feature request,can wait (low urgency)
68318,[Intro] Word broken accross two lines on Welcome page,normal,non-critical feature request,can wait (low urgency)
49063,"Refactor/Rename... Preview dialog does not have a ""Back"" button.",enhancement,non-critical feature request,can wait (low urgency)
105583,Change the way build-user.xml is loaded,enhancement,non-critical feature request,can wait (low urgency)
94903,Error setting method breakpoint in 1.5 project,normal,user-facing bug,needs attention soon
102476,GC drawing problems,normal,user-facing bug,needs attention soon
251596,[Forms] Cocoa is ugly using Forms,major,user-facing bug,needs attention soon
71648,JavaScript error when viewing JDK JavaDoc classes,major,user-facing bug,needs attention soon
79381,"The memory view is ghosted/blank when the GDB console selected via ""Debugger process""",minor,user-facing bug,needs attention soon
21750,Plugin disabled after Feature update,critical,system failure / crash,immediate action required
170365,[hashcode/equals] Templates for Generate hashCode() and equals(),enhancement,non-critical feature request,can wait (low urgency)
139149,Progress dialog blocks password dialog,normal,security vulnerability,immediate action required
75846,Support for programmatic addition of breakpoint groups.,enhancement,non-critical feature request,can wait (low urgency)
229924,[Content Assist] allow auto-trigger on identifier part,enhancement,non-critical feature request,can wait (low urgency)
128044,heavy repaint-problems,major,performance degradation,needs attention soon
168081,[Progress] Show actual progress in view icon,enhancement,non-critical feature request,can wait (low urgency)
78768,[EditorMgmt]  wrapped tab interface for editor area,enhancement,non-critical feature request,can wait (low urgency)
252083,C/C++ Project Build Properties,normal,user-facing bug,needs attention soon
126302,eclipse drag and drop support for the edit area,enhancement,non-critical feature request,can wait (low urgency)
240919,Launch Config tab setDirty should update the LCD,enhancement,non-critical feature request,can wait (low urgency)
35277,leak in pde editor,critical,system failure / crash,immediate action required
225734,[misc] IInformationPresenterExtension should not be deprecated,normal,user-facing bug,needs attention soon
60203,Launch job waiting forever,normal,user-facing bug,needs attention soon
262710,[Language Extension] support for EPIC (pulse programming in C),enhancement,non-critical feature request,can wait (low urgency)
40221,[Live Sync View] Conflicting deletion not cleared,normal,user-facing bug,needs attention soon
339867,Getter setter methods should be renamed along with data member rename,enhancement,non-critical feature request,can wait (low urgency)
25647,Add Ant View to Eclipse,normal,user-facing bug,needs attention soon
285649,TVT35:TCT394: KOR: Duplicated mnemonics in context menu,normal,user-facing bug,needs attention soon
305118,"""Add include"" does not work if cpp file has references to needed include.",major,user-facing bug,needs attention soon
30565,[Open Modes] right click on resource counts as double click,normal,user-facing bug,needs attention soon
263872,[Contributions] NPE when switching tabs; unsure of cause,normal,system failure / crash,immediate action required
109080,managed-build: per-folder settings,normal,user-facing bug,needs attention soon
24445,Performance issues on Solaris Motif,normal,performance degradation,needs attention soon
68767,"Syntax Highlighting for ""undefined"" Ant properties in editor",enhancement,non-critical feature request,can wait (low urgency)
109383,Dependency weirdness with I20050906-0800/N20050912-0010,normal,user-facing bug,needs attention soon
59050,Dead lock in JavaReconciler,critical,system failure / crash,immediate action required
248248,Wrong invalid id reference reported,major,user-facing bug,needs attention soon
91446,platform touches/reads too many Manifest.mf file,normal,user-facing bug,needs attention soon
53142,ClassCastException determining properties for top level code assist,normal,system failure / crash,immediate action required
214146,Typedef in a .cc file affects other .cc files,normal,user-facing bug,needs attention soon
104014,Scanner doesn't handle ampty argument for function macros,normal,user-facing bug,needs attention soon
158052,Tree crashes when item.dispose() called during SetData callback,normal,system failure / crash,immediate action required
208626,[KeyBindings] Mnemonic gets hidden if there is existing Alt key binding,normal,user-facing bug,needs attention soon
14453,Remove InfixExpression.Operator.INSTANCEOF operator,normal,user-facing bug,needs attention soon
277735,[relengtool] Copyrights not updated if first line does not match company name in template,normal,user-facing bug,needs attention soon
49841,[typing] Auto indentation is turned off when editing java source for some time,normal,user-facing bug,needs attention soon
231449,First Table Row Justification Wrong,normal,user-facing bug,needs attention soon
3037,Core error compiling a java class (1GEJK8Q),major,user-facing bug,needs attention soon
96067,[Workbench] Startup progress reporter dialog unresponsive,normal,user-facing bug,needs attention soon
214634,[api tooling] polish API profile creation wizard,normal,user-facing bug,needs attention soon
47875,Java search: too many cascading menus,normal,user-facing bug,needs attention soon
323583,"Add ""EE"" as keyword to get the 'Execution Environment' preference page",trivial,non-critical feature request,can wait (low urgency)
34749,Hiding empty parent packages in Java Browsing perspective [browsing] [package explorer],enhancement,non-critical feature request,can wait (low urgency)
139684,[typing] Can not undo 'Surround with' when undo size is 1,normal,user-facing bug,needs attention soon
90232,GridLayout unnecessarily accounts for scrollbars and borders in child control,normal,user-facing bug,needs attention soon
52083,[Workbench] active Editor and View tabs should change text colors,normal,user-facing bug,needs attention soon
244984,adding super interface to interface does not create errors,normal,user-facing bug,needs attention soon
237325,[commands] CommandCache.isTargetAvailable/setContextAvailable don't work correctly with non-stop multithreading.,normal,user-facing bug,needs attention soon
342253,SWT.EMBEDDABLE Composites should be reusable after embedded client has disappeared,normal,user-facing bug,needs attention soon
35662,If you are in the debugger and click on a variable with a large toString() Eclipse and X11 Crash,major,system failure / crash,immediate action required
47641,[Tasks] Error in log when selecting problem in Problems View,normal,user-facing bug,needs attention soon
94303,import static adds annoying semicolon,minor,user-facing bug,needs attention soon
252875,move org.eclipse.build.tools to separate project,normal,user-facing bug,needs attention soon
23124,"Presentation of ""no source""",enhancement,non-critical feature request,can wait (low urgency)
34165,Manifest builder should keep build.properties and plugin.xml in sync or at least mark inconsistencies,enhancement,non-critical feature request,can wait (low urgency)
259617,[debug] Better support for Collections in Variable and Expression view,normal,user-facing bug,needs attention soon
69190,NullPointerException @ org.eclipse.debug.core.sourcelookup.containers.AbstractSourceContainer.isFindDuplicates,normal,system failure / crash,immediate action required
67289,UIPerformChangeOperation swallows exception stacktrace [refactoring],normal,user-facing bug,needs attention soon
47607,Add editing in alternate concrete syntax [misc],enhancement,non-critical feature request,can wait (low urgency)
89515,[content assist][5.0] Vararg parameter completion appears in 1.4 code [code assist],normal,user-facing bug,needs attention soon
61859,M8 update doesn't contain core components,normal,user-facing bug,needs attention soon
8921,DCR - Need a way to create a working copy ignoring existing files,normal,non-critical feature request,can wait (low urgency)
97461,[Preferences] Keys preference preference page not usable in High Contrast,normal,user-facing bug,needs attention soon
38526,[Bookmarks]Bookmarks view table contains empty first line,minor,user-facing bug,needs attention soon
333778,[Compatibility] 'Breakpoints' view auto shows selection,normal,user-facing bug,needs attention soon
44568,[Managed Build] -Xlinker option requires space separator,normal,user-facing bug,needs attention soon
339311,[Progress] Every user-job causes a busy cursor to be shown for a minimum of 250ms,normal,user-facing bug,needs attention soon
248246,[dom] Save participant fails when 'new' keyword is used twice,normal,user-facing bug,needs attention soon
180347,F2 to rename files?,enhancement,non-critical feature request,can wait (low urgency)
204573,[Contributions] Calling UIElement#setChecked(true) at IElementUpdater#updateElement(*) executes the handler,normal,user-facing bug,needs attention soon
194759,[CTabFolder] Text (filename) wrapping in tabs,enhancement,non-critical feature request,can wait (low urgency)
129338,"cvs-compare: ""first bytes differ at position 0""",critical,system failure / crash,immediate action required
68424,[Intro] using static home page causes IllegalArgumentException,major,system failure / crash,immediate action required
187904,[tests] Infrastructure for writing unit tests for standard MI-back end service implementations.,enhancement,non-critical feature request,can wait (low urgency)
159004,Relax restriction on StandardVMRunner,enhancement,non-critical feature request,can wait (low urgency)
118252,Request for automatic inclusion of relevant globals in Variables view,enhancement,non-critical feature request,can wait (low urgency)
183090,[Presentations] CTabFolder throws IAE called from PaneFolder,major,user-facing bug,needs attention soon
133534,[5.0][hovering] Missing Javadoc hover on package declarations,minor,user-facing bug,needs attention soon
43523,[MPE] getAdapter(IEditorStatusLine.class) not working for MultipageEditor,normal,user-facing bug,needs attention soon
214853,Menu bar changes when open a dialog in eclipse,normal,user-facing bug,needs attention soon
296982,org.junit4 is still in test framework,normal,user-facing bug,needs attention soon
16034,"comment templates for ""Generate Getter and Setter"" [code manipulation]",enhancement,non-critical feature request,can wait (low urgency)
256986,[Templates] org.eclipse.pde.ui.newExtension extension point is not 'identifier-ready',normal,user-facing bug,needs attention soon
11345,Setting a project's launch configuration type causes NPE,normal,system failure / crash,immediate action required
290985,Code completion alternatives do not update upon user input,normal,user-facing bug,needs attention soon
33061,[Webapp] Switching 'Contents' looses tree state,enhancement,non-critical feature request,can wait (low urgency)
121569,"[Import/Export] Importing projects in workspace, the default build order is alphabetical instead of by dependency",normal,user-facing bug,needs attention soon
156452,[Metadata] Remove occurences of '(no description available)' in extension point schemas,trivial,non-critical feature request,can wait (low urgency)
71303,BIDI issue in Variables view,minor,user-facing bug,needs attention soon
61425,Primary feature not found and plugin_customization.ini not  read when org.eclipse.platform in workspace,major,user-facing bug,needs attention soon
115906,java.net.SocketException: Operation timed out,normal,user-facing bug,needs attention soon
308813,Next change not working on last difference in Text Compare,enhancement,non-critical feature request,can wait (low urgency)
43556,"[Tasks] Problems view shows ""filtered"" markers",normal,user-facing bug,needs attention soon
31322,Need support for showing Tips &Tricks,normal,user-facing bug,needs attention soon
227595,[Contributions] menus/commands added to popup:org.eclipse.ui.popup.any show up when they shouldnt,normal,user-facing bug,needs attention soon
84738,[Themes] Current theme preference should be made public,normal,user-facing bug,needs attention soon
167825,[quick assist] Convert to enhanced for loop drops additional variable initialization,normal,user-facing bug,needs attention soon
6227,incorrect bracket matching,normal,user-facing bug,needs attention soon
44072,API Request: Combo#getCaretLocation(),enhancement,non-critical feature request,can wait (low urgency)
3224,Tests - Re-enable reconciler tests (1GAKXZM),normal,user-facing bug,needs attention soon
22699,many missing items in color configuration,enhancement,non-critical feature request,can wait (low urgency)
133918,[1.5][compiler] Duplicate return; in CastExpression line 258,normal,user-facing bug,needs attention soon
149423,Change Object Value never enables OK button when variable is an empty String,normal,user-facing bug,needs attention soon
332152,Exceptions logged in FrameworkLog do not show up in the 'Error Log' view immediately,normal,user-facing bug,needs attention soon
93794,A  JDT Core Model JUnit test case failed,normal,user-facing bug,needs attention soon
4212,DnD: Drop is blocked on files/CUs (1GK1RSN),normal,user-facing bug,needs attention soon
219743,[hovering] Investigate whether we can use just SWT.TOOL for rectangular hover,normal,user-facing bug,needs attention soon
117107,[flex-hierarchy] No expansion in Debug View,normal,user-facing bug,needs attention soon
10338,Smart update for .am variables.,enhancement,non-critical feature request,can wait (low urgency)
261258,[breakpoint] ClassCastException on breakpoint action,normal,system failure / crash,immediate action required
198533,[TOC][Editor] Sync Selection between Source Page and Definition Page,enhancement,non-critical feature request,can wait (low urgency)
167256,Allow eclipse to launch without workspace specified,normal,non-critical feature request,can wait (low urgency)
62809,"[Scanner Config] Handling -DMACRO=""value""",normal,user-facing bug,needs attention soon
26824,New auto-suggestion; add 'generate getXxx' when accessing a private field [code manipulation],enhancement,non-critical feature request,can wait (low urgency)
22403,[Tasks] Tasks and compiler errors,enhancement,non-critical feature request,can wait (low urgency)
144520,SocketLaunchingConnectorImpl.launch should call Runtime.getRuntime().exec(String []),normal,user-facing bug,needs attention soon
205045,pluggable sdk awareness in the project model,enhancement,non-critical feature request,can wait (low urgency)
50490,Eclipse 3.0M6 hang on rename of package,blocker,system failure / crash,immediate action required
37143,[WorkingSets] API addition to IWorkingSetManager to recreate an IWorkingSet from an IMemento,normal,user-facing bug,needs attention soon
234436,[KeyBindings] NPE when shutting down a runtime workspace,normal,system failure / crash,immediate action required
187152,[CTabFolder] does not honour setBackgroundMode for the TabItems,major,user-facing bug,needs attention soon
297182,Summary Validation,major,user-facing bug,needs attention soon
118159,[Viewers] selection provider should enable copy action in workbench menu,enhancement,non-critical feature request,can wait (low urgency)
61429,Persistent Display view,normal,user-facing bug,needs attention soon
153256,'Add JRE' dialog layout problems,normal,user-facing bug,needs attention soon
106027,Convert Find/Replace Dialog to view,enhancement,non-critical feature request,can wait (low urgency)
49265,Change default key binding for incremental completion,normal,user-facing bug,needs attention soon
32081,Mouse click/drag annoyingly sensitive,normal,user-facing bug,needs attention soon
205957,Version of javadoc tool used during build doc generation should match project's compiler compliance,normal,user-facing bug,needs attention soon
51993,[Content Assist] Enumerations do not appear in the completion list.,normal,user-facing bug,needs attention soon
96213,Eclipse 3.1M7 - Field completion stack overflow,minor,user-facing bug,needs attention soon
32878,Rollback to Revision,enhancement,non-critical feature request,can wait (low urgency)
46186,Introduce Factory: MalformedTreeException,normal,user-facing bug,needs attention soon
56533,Java Code Formatter: Line Wrapping policy for method parameters does not work,minor,user-facing bug,needs attention soon
100579,folding cvs,normal,user-facing bug,needs attention soon
76233,[Forms] Incorrect section description height computation in flat forms,normal,user-facing bug,needs attention soon
80017,long strings show cheesey on details pane,normal,user-facing bug,needs attention soon
89215,Browser resolution logic seems bad,normal,user-facing bug,needs attention soon
39023,Create static field quick fix creates an instance field [quick fix],normal,user-facing bug,needs attention soon
52252,[DetachedViews] [EditorMgmt] add ability to tear off java editors,enhancement,non-critical feature request,can wait (low urgency)
216692,[1.5][compiler] Protected type not visible in subclass,normal,user-facing bug,needs attention soon
18756,Support F2 in Hierarachy and other Views.,normal,user-facing bug,needs attention soon
27592,[EditorMgmt] CTabFolder Tab Labels,enhancement,non-critical feature request,can wait (low urgency)
25546,NPE trying to close broken view.,normal,system failure / crash,immediate action required
33991,Unreachable catch block when openning source,critical,system failure / crash,immediate action required
16975,Up/down button on launch history page not working correctly,normal,user-facing bug,needs attention soon
126598,"[DOM][AST] String[] s =  {"""",,,} leads to wrong positions after conversion",normal,user-facing bug,needs attention soon
2085,Tear off windows over the editor is confusing. (1GE6SUW),normal,user-facing bug,needs attention soon
54717,JUnit contextual launch must port to new XML Expr Language,normal,user-facing bug,needs attention soon
77852,Eclipse crashed...,critical,system failure / crash,immediate action required
10598,Could not create action --> ClassNotFoundException,normal,system failure / crash,immediate action required
14177,Context menu for Java file is missing 'Externalize Strings...' action item.,normal,user-facing bug,needs attention soon
46253,Need confirmation dialog box before editing read-only files.,normal,user-facing bug,needs attention soon
133936,[misc] Compilation Unit Editor tramples file content,normal,user-facing bug,needs attention soon
64607,GC.drawRoundRectangle/GC.fillRoundRectangle,normal,user-facing bug,needs attention soon
124116,Ensure Update handles the Callisto load,normal,user-facing bug,needs attention soon
35885,J9 plugin should use Xbootclasspath instead of bp,normal,user-facing bug,needs attention soon
9126,Inner classes hard to debug because out scopes not visible,enhancement,non-critical feature request,can wait (low urgency)
300630,Extension Point schemas/declarations that use the same name for the point id as the schema file are reported as errors,normal,user-facing bug,needs attention soon
72595,[Themes] Themes need to be extendable,normal,user-facing bug,needs attention soon
202459,[ASTLocations] fix the location concept for the AST,normal,user-facing bug,needs attention soon
101211,Generalize Type disables after cancelling Change Method Signature,normal,user-facing bug,needs attention soon
185054,[JUnit] No execution time for imported junit test run,normal,user-facing bug,needs attention soon
112182,TabFolder does not send selection events when selection is changed programatically,normal,user-facing bug,needs attention soon
10462,Launch several testcase with JUnit [JUnit],enhancement,non-critical feature request,can wait (low urgency)
51572,Pref Page Local History Note,normal,user-facing bug,needs attention soon
18157,Internal Error when deleting project,normal,system failure / crash,immediate action required
202452,[hovering] Hover and Javadoc view do not format {@code true} when it immediately follows @return,minor,user-facing bug,needs attention soon
65988,[Intro] Welcome - erasing window,normal,user-facing bug,needs attention soon
112888,JDINullValue incompatible JDIObjectValue: Exception processing async thread queue,blocker,system failure / crash,immediate action required
282019,Way to query specific key binding,enhancement,non-critical feature request,can wait (low urgency)
307000,[Webapp] Ability to filter based on union of scopes,normal,non-critical feature request,can wait (low urgency)
92826,[api] change to TextTextHoverKey,normal,user-facing bug,needs attention soon
15576,The New File Wizard Page is Not Screen reader able,major,user-facing bug,needs attention soon
319451,Opening the launch dialog scans all plugins,normal,user-facing bug,needs attention soon
251339,[ds tooling] Strange label selection in Service Component editor,normal,user-facing bug,needs attention soon
44095,CVS decorators should show incoming/conflicting files,enhancement,non-critical feature request,can wait (low urgency)
9386,cannot import jar files into project,major,user-facing bug,needs attention soon
2309,Moving view has different reveal order than close (1GENS04),enhancement,non-critical feature request,can wait (low urgency)
344537,"""Details can be found in the log""",normal,user-facing bug,needs attention soon
64772,[RCP] IProduct and IBundleGroup file properties must be resolved relative to the corresponding bundle,major,user-facing bug,needs attention soon
314864,[Wizards] chkpii in org_eclipse_ui_keywords.html in I20100527-1200,trivial,non-critical feature request,can wait (low urgency)
252248,ClassCastException in CPPSemantics.getParentScope,normal,system failure / crash,immediate action required
49909,problems during CVS team -> unedit,normal,user-facing bug,needs attention soon
163128,org.eclipse.debug.ui plugin needs organizing,trivial,non-critical feature request,can wait (low urgency)
127666,NPE during decoration,normal,system failure / crash,immediate action required
125646,can't export prebuilt packages,normal,user-facing bug,needs attention soon
103905,Exception while creating Package Explorer view,normal,system failure / crash,immediate action required
52209,JARs from global classpath not found for build,major,user-facing bug,needs attention soon
185708,[Wizards] Provide link to open SSH/SSH2/proxy preferences from Connection wizard,enhancement,non-critical feature request,can wait (low urgency)
309288,fast indexer does not work correctly with autotools project,normal,user-facing bug,needs attention soon
17537,TM: Site explorer should have larger fastview ratio,normal,user-facing bug,needs attention soon
35967,Create TestSuite Template can be simplified [JUnit],enhancement,non-critical feature request,can wait (low urgency)
46768,Call Hierarchy does not work on constants,normal,user-facing bug,needs attention soon
154880,DeltaProcessor does not set project references if first build is a project build,critical,system failure / crash,immediate action required
130123,"""rm"" does not exist in Windows",normal,user-facing bug,needs attention soon
147359,[JFace] Add a standard date editor,enhancement,non-critical feature request,can wait (low urgency)
140870,No version range specified when requiring bundles,normal,user-facing bug,needs attention soon
6056,"No revealing in type hierarchy when ""show members in hierarchy""",normal,user-facing bug,needs attention soon
81182,instruction pointer text is not highlighted properly for external soruce,normal,user-facing bug,needs attention soon
154705,NPE opening custom perspectives,critical,system failure / crash,immediate action required
17342,R1.0 workspace: Task view settings lost,normal,user-facing bug,needs attention soon
273391,AntSecurityException when dragging a build file to the Ant View,normal,system failure / crash,immediate action required
13715,Make use of available icons,normal,user-facing bug,needs attention soon
287234,[DND] drag/drop onto empty table generates exception in SWT,normal,user-facing bug,needs attention soon
279328,Console View : Problem in UTF-8 translation,normal,user-facing bug,needs attention soon
45454,[tests] test failure in LinkedResourceTest.testCopy,normal,user-facing bug,needs attention soon
4804,StyledText - implement better autoscrolling behavior (1GIZ7A6),normal,user-facing bug,needs attention soon
132681,Disabled image not greyed out properly,normal,user-facing bug,needs attention soon
21973,[Editor Mgmt] Support for opening a file that isn't in the project workspace,enhancement,non-critical feature request,can wait (low urgency)
48782,Checkbox lines should not be full-width of editor for build.properties,minor,user-facing bug,needs attention soon
69127,"In Mark occurances feature, show the first and the last occurances distinctly.",enhancement,non-critical feature request,can wait (low urgency)
22561,Hover Help broken in 2.0.1 I20020815,blocker,system failure / crash,immediate action required
51541,NPE restoring scrapbook editor,major,system failure / crash,immediate action required
8534,"Eclipse tilde character not displayed when entered, system hangs",critical,system failure / crash,immediate action required
114439,Status returned from IOperationValidator methods do not contain specific feature information unless the internal FeatureStatus Class is used for typecasting.,enhancement,non-critical feature request,can wait (low urgency)
34115,[DOC] Log messages while searching help,normal,non-critical feature request,can wait (low urgency)
84282,Leakage from Ant Build: FileLinks,normal,user-facing bug,needs attention soon
212868,[misc] Index out of bounds in RevisionPainter,normal,user-facing bug,needs attention soon
13006,Alt+1 with blank TabFolder results in NPE,normal,system failure / crash,immediate action required
71771,"[navigation] ""mark occurrences"" for extends/implements clauses",enhancement,non-critical feature request,can wait (low urgency)
53697,[java debug] Automatic disconnect after N timeout exceptions,enhancement,performance degradation,needs attention soon
111059,[Markers] Add a problem specific details pane,enhancement,non-critical feature request,can wait (low urgency)
9191,Walkback in CVS console,normal,user-facing bug,needs attention soon
335685,Debugger stops on line where removed breakpoint used to be,normal,user-facing bug,needs attention soon
35616,[Navigator] Progress dialog does not show resource paths when moving/copying,normal,user-facing bug,needs attention soon
38626,DirectoryDialog getFilterPath() always returns null,normal,user-facing bug,needs attention soon
299378,OperationCancelledException should be handled gracefully,normal,user-facing bug,needs attention soon
247028,restricted constructors from public static inner types not flagged,normal,user-facing bug,needs attention soon
56154,Plug-ins can't compile - SWT Missing,major,user-facing bug,needs attention soon
155721,[Decorators] Missing font/colour decarations,normal,user-facing bug,needs attention soon
16826,Create new Feature with space in name should compute ID,normal,non-critical feature request,can wait (low urgency)
187614,[Forms] org.eclipse.ui.forms.widgets.Section does not allow background image to be set,enhancement,non-critical feature request,can wait (low urgency)
294137,[Help] Definition of Search Scopes should go beyond just 2 levels,enhancement,non-critical feature request,can wait (low urgency)
106677,Code Assist: shows newly defined variable name as possible selection,normal,user-facing bug,needs attention soon
3886,Minor: F4 does not reveal method (1GF2740),normal,user-facing bug,needs attention soon
75588,generalize watchpoint to debug platform,enhancement,non-critical feature request,can wait (low urgency)
15059,Initializing constructor creation,enhancement,non-critical feature request,can wait (low urgency)
84440,[C++ Offsets] IASTEnumerationSpecifier$IASTEnumerator has bad offset,normal,user-facing bug,needs attention soon
121391,[History View] New File History View does not track revisions,normal,user-facing bug,needs attention soon
268225,Maximized Outline view looses selection,normal,user-facing bug,needs attention soon
64514,Remove dependency on obsolete ProgressTreeViewer,normal,user-facing bug,needs attention soon
43002,[KeyBindings]: Binding Ctrl-Tab to any command failed,normal,user-facing bug,needs attention soon
252411,"When creating new C/C++ Project: Problems occurred when invoking code from plug-in: ""org.eclipse.jface""",major,user-facing bug,needs attention soon
74432,[Widgets] Interesting warning from metacity,normal,user-facing bug,needs attention soon
135551,Main Menus do not wrap,major,user-facing bug,needs attention soon
63476,[Workbench] SWTException closing editors,normal,system failure / crash,immediate action required
36150,CElement.fLength == -1 throwing the CEditor.setSelection(),normal,user-facing bug,needs attention soon
10584,Merge needs progress,normal,user-facing bug,needs attention soon
6295,"File ""save as"" bug, new file is read-only",normal,user-facing bug,needs attention soon
202789,Long running PackageExplorer  operation blocks UI,normal,system failure / crash,immediate action required
34442,Custom task does not work in folder (only in jar),normal,user-facing bug,needs attention soon
31645,Checking off a method/field in the refactoring wizard navigates list to top,normal,user-facing bug,needs attention soon
26110,Coredump from I20021018,normal,system failure / crash,immediate action required
125311,Allow to add resources via variable to resource sets,enhancement,non-critical feature request,can wait (low urgency)
255269,Fragments should be able to see types from the host,normal,user-facing bug,needs attention soon
64448,Multiple entry fields in goto line dialog,normal,user-facing bug,needs attention soon
237165,Numbering for stack frames in Debug view,enhancement,non-critical feature request,can wait (low urgency)
236253,builtins not populated in makefile editor content assist,normal,user-facing bug,needs attention soon
151815,The refresh and relevant resources in External builder should be project relative,normal,user-facing bug,needs attention soon
178526,"New menu item ""Open Debug Dialog..."" is counter intuitive and has bad kbd access key",normal,user-facing bug,needs attention soon
200358,Breakpoints are sometimes skipped,normal,user-facing bug,needs attention soon
13491,Cannot debug a deadlock,normal,system failure / crash,immediate action required
57981,3.0M8 not saving extension locations for plugins,normal,user-facing bug,needs attention soon
23301,[variables] Debugger records the history of variables,enhancement,non-critical feature request,can wait (low urgency)
44994,Please provide automated management of JavaDoc,enhancement,non-critical feature request,can wait (low urgency)
52308,[EditorMgmt] Right-click on editor title bar flashes drop-down then system menu,normal,user-facing bug,needs attention soon
120843,Refactoring History outdated after Replace With ...,normal,user-facing bug,needs attention soon
64624,[Workbench] Perspective switcher on left does not grow to show new items,normal,user-facing bug,needs attention soon
33582,Indicate that a feature is not available for download due to a missing license while displaying.,normal,user-facing bug,needs attention soon
27698,eclipse wont start,blocker,system failure / crash,immediate action required
208036,Detail pane in inspect popup dialog is too small,normal,user-facing bug,needs attention soon
282103,[open type] wrong matches shown together with right one,normal,user-facing bug,needs attention soon
9780,Add doesn't ignore ignored resources,major,user-facing bug,needs attention soon
155811,Full Indexer can't index gmp.h,normal,user-facing bug,needs attention soon
113037,MessageDialog not centered on Linux,normal,user-facing bug,needs attention soon
